Date,Country,Confirmed,Recovered,Deaths,Active
2021-01-01,USA,890,1519,154,0
2021-01-02,USA,768,1460,160,0
2021-01-03,USA,764,1387,157,0
2021-01-04,USA,872,1597,151,0
2021-01-05,USA,813,1568,150,0
2021-01-06,USA,791,1366,159,0
2021-01-07,USA,703,1557,154,0
2021-01-08,USA,987,1323,158,0
2021-01-09,USA,954,1632,146,0
2021-01-10,USA,844,1532,153,0
2021-01-11,USA,776,1437,164,0
2021-01-12,USA,665,1365,152,0
2021-01-13,USA,948,1596,148,0
2021-01-14,USA,678,1342,157,0
2021-01-15,USA,943,1425,161,0
2021-01-16,USA,1006,1331,154,0
2021-01-17,USA,699,1341,149,0
2021-01-18,USA,1002,1598,147,0
2021-01-19,USA,788,1338,153,0
2021-01-20,USA,900,1442,148,0
2021-01-21,USA,914,1471,149,0
2021-01-22,USA,948,1482,164,0
2021-01-23,USA,771,1582,145,0
2021-01-24,USA,914,1555,160,0
2021-01-25,USA,722,1559,152,0
2021-01-26,USA,983,1506,155,0
2021-01-27,USA,937,1532,145,0
2021-01-28,USA,786,1575,146,0
2021-01-29,USA,1019,1578,158,0
2021-01-30,USA,687,1318,151,0
2021-01-01,India,4722,1135,167,3420
2021-01-02,India,4534,978,166,3390
2021-01-03,India,4479,1198,158,3123
2021-01-04,India,4760,992,158,3610
2021-01-05,India,4699,1031,172,3496
2021-01-06,India,4728,1214,164,3350
2021-01-07,India,4839,1087,171,3581
2021-01-08,India,4661,1075,154,3432
2021-01-09,India,4652,1087,163,3402
2021-01-10,India,4797,1065,173,3559
2021-01-11,India,4679,1201,161,3317
2021-01-12,India,4641,1133,154,3354
2021-01-13,India,4653,1111,161,3381
2021-01-14,India,4513,1105,169,3239
2021-01-15,India,4479,1213,170,3096
2021-01-16,India,4856,1049,171,3636
2021-01-17,India,4556,1031,164,3361
2021-01-18,India,4642,1031,161,3450
2021-01-19,India,4484,1076,171,3237
2021-01-20,India,4671,1069,165,3437
2021-01-21,India,4664,959,169,3536
2021-01-22,India,4596,1134,156,3306
2021-01-23,India,4768,1183,159,3426
2021-01-24,India,4480,1012,162,3306
2021-01-25,India,4678,1238,171,3269
2021-01-26,India,4504,1169,170,3165
2021-01-27,India,4504,1257,157,3090
2021-01-28,India,4761,998,154,3609
2021-01-29,India,4790,968,157,3665
