Country,Region,Year,HappinessScore,GDPPerCapita,SocialSupport,LifeExpectancy,Freedom,Generosity
Finland,Europe,2018,4.42,0.75,1.06,0.474,0.697,0.158
Finland,Europe,2019,4.753,0.741,0.889,0.674,0.337,0.399
Finland,Europe,2020,4.523,0.769,1.405,0.712,0.31,0.373
Finland,Europe,2021,4.553,0.757,1.535,0.702,0.551,0.353
Finland,Europe,2022,4.691,0.771,0.969,0.558,0.581,0.466
Finland,Europe,2023,4.82,0.683,1.473,0.743,0.487,0.197
Denmark,Middle East,2018,6.77,0.479,0.734,0.59,0.639,0.182
Denmark,Middle East,2019,6.673,0.562,1.506,0.961,0.406,0.315
Denmark,Middle East,2020,6.606,0.485,1.559,0.818,0.679,0.402
Denmark,Middle East,2021,6.813,0.584,1.152,0.929,0.466,0.484
Denmark,Middle East,2022,6.598,0.504,0.963,0.779,0.253,0.184
Denmark,Middle East,2023,7.055,0.57,1.378,0.744,0.648,0.465
Switzerland,Europe,2018,4.09,1.923,1.486,0.97,0.468,0.161
Switzerland,Europe,2019,3.852,1.832,1.53,0.671,0.626,0.106
Switzerland,Europe,2020,4.17,1.795,0.693,0.712,0.64,0.392
Switzerland,Europe,2021,4.155,1.831,0.529,0.996,0.338,0.073
Switzerland,Europe,2022,3.883,1.844,0.678,0.475,0.618,0.36
Switzerland,Europe,2023,3.862,1.901,0.815,0.95,0.473,0.009
Iceland,Asia,2018,5.454,1.985,1.401,0.372,0.379,0.009
Iceland,Asia,2019,5.779,1.809,0.797,0.302,0.417,0.294
Iceland,Asia,2020,5.637,1.89,0.899,0.999,0.443,0.372
Iceland,Asia,2021,5.408,1.867,1.309,0.448,0.266,0.005
Iceland,Asia,2022,5.716,1.805,1.433,0.495,0.54,0.339
Iceland,Asia,2023,5.283,1.833,1.541,0.535,0.568,0.238
Netherlands,South America,2018,6.132,1.712,1.426,0.325,0.234,0.314
Netherlands,South America,2019,6.219,1.795,0.986,0.987,0.391,0.482
Netherlands,South America,2020,6.151,1.726,0.881,0.731,0.416,0.391
Netherlands,South America,2021,5.809,1.78,0.878,0.761,0.409,0.034
Netherlands,South America,2022,5.946,1.686,1.447,0.525,0.263,0.037
Netherlands,South America,2023,6.335,1.793,0.95,0.905,0.335,0.433
Norway,Asia,2018,7.391,1.571,1.586,0.332,0.398,0.299
Norway,Asia,2019,7.556,1.569,0.664,0.311,0.201,0.021
Norway,Asia,2020,7.685,1.727,0.701,0.896,0.37,0.326
Norway,Asia,2021,7.736,1.579,1.325,0.663,0.288,0.128
Norway,Asia,2022,7.424,1.612,0.925,0.888,0.687,0.121
Norway,Asia,2023,7.502,1.619,1.29,0.981,0.375,0.182
Sweden,Europe,2018,4.06,1.035,1.07,1.007,0.282,0.364
Sweden,Europe,2019,4.149,1.176,0.611,0.592,0.495,0.235
Sweden,Europe,2020,4.329,1.203,1.086,0.622,0.221,0.14
Sweden,Europe,2021,4.102,1.013,0.729,0.318,0.227,0.216
