PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
1,3,male,16.7,2,0,15.96,S,0
2,3,female,21.1,0,1,10.49,Q,0
3,2,female,36.4,0,1,24.24,S,1
4,3,female,50.7,0,0,5.53,S,0
5,3,male,,1,0,4.0,C,0
6,3,male,,0,1,23.07,S,1
7,1,female,26.7,1,0,64.75,S,1
8,2,male,20.8,0,2,23.42,S,0
9,1,female,7.4,0,0,51.21,Q,1
10,2,female,29.3,1,1,37.17,S,1
11,1,female,38.8,0,0,70.88,S,1
12,2,male,,0,0,23.61,C,1
13,3,male,31.7,0,2,12.15,S,0
14,2,male,41.5,2,0,24.77,S,0
15,3,female,41.7,1,2,19.0,S,1
16,3,male,23.5,0,0,4.0,S,0
17,1,male,59.0,0,1,95.19,S,1
18,3,male,36.2,4,0,8.78,S,0
19,2,male,18.5,0,0,21.54,S,1
20,2,male,,0,0,19.86,Q,0
21,2,male,,0,0,28.2,S,1
22,3,female,40.6,0,0,5.45,S,1
23,2,female,12.6,0,1,20.45,S,1
24,1,male,,0,2,93.28,S,0
25,3,male,21.4,3,0,8.98,,0
26,3,female,,3,0,9.46,S,1
27,2,male,38.6,3,0,27.75,C,0
28,2,male,34.8,0,0,25.44,S,1
29,2,male,29.8,1,0,22.05,S,1
30,3,male,43.1,0,0,12.1,S,0
31,3,female,5.6,1,0,7.4,S,1
32,3,male,34.6,0,1,16.1,S,1
33,3,female,34.4,1,0,6.35,,1
34,3,female,36.3,0,2,4.0,S,1
35,2,male,39.7,0,0,28.09,C,0
36,1,male,77.1,0,3,46.09,S,0
37,3,male,30.5,1,0,7.01,S,0
38,3,male,39.5,0,0,10.7,Q,0
39,2,male,31.0,0,0,30.29,S,0
40,2,female,49.4,1,0,20.79,S,1
41,2,male,2.7,1,1,21.06,S,1
42,2,male,51.1,0,0,21.17,S,0
43,2,female,20.1,3,0,27.59,S,1
44,2,female,0.5,0,0,20.49,S,1
45,2,female,15.0,0,2,26.47,Q,0
46,3,male,26.7,0,1,18.5,C,0
47,3,male,31.5,4,0,10.58,S,1
48,2,female,28.4,0,0,21.54,C,1
49,2,female,39.6,1,0,17.06,C,1
50,2,female,28.5,0,0,18.43,Q,0
51,2,male,28.2,4,0,14.56,S,0
52,2,male,1.1,0,0,15.69,C,1
53,3,female,35.3,4,2,8.76,S,0
54,1,male,42.1,0,0,86.7,S,0
55,2,female,23.5,2,0,28.33,S,1
56,2,male,4.6,0,0,21.0,S,1
57,3,male,,1,1,13.25,S,1
58,3,female,,0,1,5.16,S,1
59,3,male,21.1,0,1,21.97,S,1
60,3,male,20.4,0,1,24.0,S,1
61,2,male,18.3,0,1,23.49,S,0
62,3,female,37.9,3,0,14.17,S,1
63,2,male,21.4,0,1,25.22,Q,0
64,3,female,17.7,0,3,15.53,S,0
65,2,female,,2,0,19.39,S,1
66,2,male,27.6,0,0,12.3,C,1
67,1,male,42.0,1,2,98.4,,0
68,2,female,27.1,0,1,15.72,Q,0
69,3,male,40.5,0,0,13.4,S,0
70,2,female,31.3,0,0,17.07,S,0
71,3,male,30.9,0,0,7.8,S,0
72,3,male,31.3,0,0,16.56,Q,0
73,3,male,29.4,1,1,19.7,C,0
74,2,female,42.3,0,3,23.21,S,1
75,3,female,,0,0,9.55,S,1
76,1,male,21.5,0,0,85.73,S,1
77,1,male,30.7,0,0,64.63,C,1
78,1,male,,1,0,35.05,S,0
79,1,male,35.3,0,1,77.75,S,1
80,1,male,31.3,1,0,22.4,S,1
81,1,male,34.4,3,0,88.97,S,0
82,3,male,9.8,1,1,9.13,S,1
83,1,male,33.9,0,0,82.99,S,1
84,3,male,46.1,4,0,4.3,S,1
85,3,female,11.4,0,0,7.9,S,1
86,3,male,49.8,0,0,14.48,S,0
87,3,male,32.9,1,0,18.45,S,1
88,2,male,,2,2,31.13,C,1
89,3,male,5.5,0,0,13.57,S,1
90,3,male,43.1,0,1,6.09,S,0
91,3,female,16.4,1,1,14.49,S,1
92,2,female,22.4,0,0,25.49,S,0
93,3,male,,2,0,10.06,C,0
94,3,male,,0,0,18.14,S,0
95,3,female,,0,0,7.8,C,1
96,3,male,14.0,0,0,20.42,C,0
97,3,male,27.6,3,0,8.41,S,0
98,2,male,36.7,4,2,19.02,C,0
99,3,male,34.2,1,3,11.15,S,0
100,1,female,,1,0,45.25,S,1
101,1,male,24.5,2,1,66.48,S,1
102,3,male,30.8,3,0,12.03,S,0
