Date,City,PM2.5,PM10,NO2,SO2,CO,O3,AQI,Temperature,Humidity
2023-01-01,Delhi,152.16,180.04,21.21,39.1,0.22,32.77,382.9,33.7,74.6
2023-01-02,Delhi,136.64,186.65,78.76,8.23,2.17,10.81,393.7,33.2,23.1
2023-01-03,Delhi,159.41,169.58,76.17,31.88,3.06,25.58,412.9,30.1,62.1
2023-01-04,Delhi,135.75,181.47,35.63,22.06,3.29,56.95,366.6,30.4,31.1
2023-01-05,Delhi,147.07,173.11,52.82,17.26,2.34,45.72,385.5,35.6,73.7
2023-01-06,Delhi,136.08,167.15,42.69,28.09,1.04,59.93,359.2,35.6,82.7
2023-01-07,Delhi,141.6,177.63,19.36,20.92,0.8,92.65,364.2,33.6,78.1
2023-01-08,Delhi,143.22,188.32,35.36,14.58,2.09,86.09,383.2,37.9,61.7
2023-01-09,Delhi,133.25,176.02,23.41,29.84,3.15,56.33,352.4,35.4,24.6
2023-01-10,Delhi,146.92,157.3,51.09,15.82,2.73,14.37,371.8,30.4,67.9
2023-01-11,Delhi,146.15,175.0,68.28,20.53,2.87,55.92,393.4,38.6,66.7
2023-01-12,Delhi,135.18,166.71,69.93,15.31,0.82,52.54,371.1,33.2,63.3
2023-01-13,Delhi,143.82,162.57,35.94,17.92,3.18,98.17,363.8,35.6,25.8
2023-01-14,Delhi,152.7,179.28,66.95,15.2,0.39,65.06,405.9,30.6,73.2
2023-01-15,Delhi,154.55,168.48,75.78,8.6,3.31,51.89,404.5,36.9,72.7
2023-01-16,Delhi,160.15,191.06,8.01,2.61,1.99,13.05,397.1,35.9,57.4
2023-01-17,Delhi,150.71,169.78,25.44,38.09,2.6,10.57,374.6,30.3,64.2
2023-01-18,Delhi,139.35,168.44,63.61,15.46,3.26,74.84,375.6,34.8,32.7
2023-01-19,Delhi,143.0,182.65,79.31,4.8,0.64,76.6,400.3,37.7,26.2
2023-01-20,Delhi,155.6,183.6,56.62,14.92,1.67,42.97,408.6,37.7,43.0
2023-01-21,Delhi,140.39,189.54,74.0,38.81,2.86,17.82,399.2,30.2,59.0
2023-01-22,Delhi,156.4,187.5,52.76,38.32,0.7,29.94,411.0,32.6,38.0
2023-01-23,Delhi,140.08,156.87,33.15,3.13,1.97,95.12,352.2,33.8,63.7
2023-01-24,Delhi,149.07,189.47,60.09,33.34,1.31,91.67,405.2,31.2,48.6
2023-01-25,Delhi,152.84,165.47,71.46,34.7,0.74,30.77,397.4,29.8,80.1
2023-01-26,Delhi,140.89,167.86,25.28,6.68,1.71,31.12,358.3,34.9,34.2
2023-01-27,Delhi,146.06,190.06,32.89,38.26,0.39,59.39,387.6,35.3,87.3
2023-01-28,Delhi,158.47,172.57,61.96,39.08,2.63,95.86,406.7,38.7,53.7
2023-01-29,Delhi,150.51,159.32,37.78,34.91,2.1,35.15,372.1,30.5,36.2
2023-01-30,Delhi,134.46,161.48,33.77,3.63,2.97,46.34,347.8,35.0,64.5
2023-01-01,Mumbai,51.86,33.93,36.7,35.25,2.13,11.58,123.3,17.8,46.9
2023-01-02,Mumbai,27.3,43.24,49.56,3.43,2.32,64.91,100.3,11.2,49.8
2023-01-03,Mumbai,28.07,30.6,48.79,18.92,2.98,27.92,91.0,13.3,66.7
2023-01-04,Mumbai,24.32,43.96,56.45,11.31,1.4,61.96,99.9,13.0,81.4
