Date,Company,Open,High,Low,Close,Volume
2023-01-02,TechNova,102.94,106.09,101.1,104.62,1314875
2023-01-03,TechNova,106.31,107.77,102.76,105.73,2948181
2023-01-04,TechNova,109.97,112.26,108.61,108.94,4522742
2023-01-05,TechNova,110.79,111.68,108.55,110.44,1473630
2023-01-06,TechNova,112.31,115.3,109.24,110.67,2783761
2023-01-09,TechNova,110.96,114.19,109.27,112.34,4286302
2023-01-10,TechNova,111.79,115.31,111.01,112.35,4581825
2023-01-11,TechNova,110.55,114.8,110.54,112.03,3271290
2023-01-12,TechNova,111.26,112.28,108.14,109.97,797741
2023-01-13,TechNova,110.41,110.5,110.09,110.35,639820
2023-01-16,TechNova,109.08,109.76,105.35,108.18,1480880
2023-01-17,TechNova,107.51,110.49,104.73,108.05,2322174
2023-01-18,TechNova,108.12,110.13,106.42,108.86,681848
2023-01-19,TechNova,108.12,109.46,107.55,109.31,1145359
2023-01-20,TechNova,107.86,108.82,103.7,106.57,197426
2023-01-23,TechNova,107.31,110.46,104.48,107.64,1664651
2023-01-24,TechNova,105.96,108.05,105.85,106.93,1471670
2023-01-25,TechNova,102.3,104.88,100.02,100.35,1529049
2023-01-26,TechNova,100.71,103.11,100.44,100.5,1616232
2023-01-27,TechNova,105.86,106.6,101.81,104.08,2434830
2023-01-30,TechNova,110.21,111.29,106.78,109.54,2271135
2023-01-31,TechNova,106.94,108.98,104.38,108.26,264760
2023-02-01,TechNova,107.78,111.1,104.88,108.42,1824100
2023-02-02,TechNova,105.47,108.84,102.76,105.89,4514716
2023-02-03,TechNova,107.35,108.07,105.02,105.68,1468146
2023-02-06,TechNova,105.95,107.07,104.81,106.47,420947
2023-02-07,TechNova,106.43,107.16,104.43,104.69,4982586
2023-02-08,TechNova,108.64,109.67,104.59,107.05,3611697
2023-02-09,TechNova,106.49,108.33,103.6,108.15,2946341
2023-02-10,TechNova,112.56,114.78,111.87,111.96,4767888
2023-02-13,TechNova,108.81,110.15,108.72,109.42,4462620
2023-02-14,TechNova,117.53,120.21,115.61,116.99,3043581
2023-02-15,TechNova,119.28,120.37,115.29,118.12,316551
2023-02-16,TechNova,117.38,119.19,113.97,116.22,119157
2023-02-17,TechNova,116.07,119.78,113.96,117.2,2786423
2023-02-20,TechNova,115.85,117.28,113.68,115.31,2720596
2023-02-21,TechNova,113.75,115.79,111.23,113.03,4960694
2023-02-22,TechNova,112.07,114.61,110.38,111.78,746671
2023-02-23,TechNova,113.67,115.84,112.61,114.02,264275
2023-02-24,TechNova,119.98,120.51,116.69,118.41,904510
2023-02-27,TechNova,119.74,120.24,117.61,117.79,3588314
2023-02-28,TechNova,116.15,118.76,114.92,116.05,2631502
2023-03-01,TechNova,115.43,117.53,114.93,116.0,3706796
2023-03-02,TechNova,121.83,121.91,118.49,121.28,985997
2023-03-03,TechNova,120.87,122.34,118.43,121.91,3849700
2023-03-06,TechNova,124.07,124.14,120.97,122.95,4946688
2023-03-07,TechNova,121.24,123.94,118.93,122.19,1748371
2023-03-08,TechNova,122.35,124.46,120.64,122.97,4579256
2023-03-09,TechNova,127.43,129.83,126.37,126.63,544334
2023-03-10,TechNova,124.44,124.82,123.58,124.19,3159951
2023-03-13,TechNova,125.46,127.67,122.79,125.77,4688895
2023-03-14,TechNova,123.37,127.48,123.11,124.49,3325764
2023-03-15,TechNova,128.45,130.35,124.4,127.22,1705820
2023-03-16,TechNova,127.5,131.4,126.8,129.07,3949065
2023-03-17,TechNova,127.59,131.11,126.17,129.14,3798093
2023-03-20,TechNova,129.71,130.8,129.35,129.52,3232903
2023-03-21,TechNova,131.97,132.59,130.47,131.46,3094557
2023-03-22,TechNova,128.42,130.85,126.82,128.16,291252
2023-03-23,TechNova,132.64,134.76,130.33,131.87,1135342
2023-03-24,TechNova,131.94,135.29,131.54,132.8,323685
2023-03-27,TechNova,138.19,139.0,133.63,136.48,2268875
2023-03-28,TechNova,139.87,141.62,138.55,139.6,4532486
2023-03-29,TechNova,139.38,142.15,138.74,139.78,1058327
2023-03-30,TechNova,138.91,139.12,135.41,136.99,4586433
2023-03-31,TechNova,134.21,136.77,131.76,133.34,3287270
2023-04-03,TechNova,132.92,133.18,128.86,131.25,1954510
2023-04-04,TechNova,129.67,132.98,127.71,130.82,2174369
2023-04-05,TechNova,133.86,135.31,133.42,133.71,4031201
2023-04-06,TechNova,131.94,135.36,131.35,132.94,4097650
2023-04-07,TechNova,133.87,136.69,133.66,134.0,3108869
2023-04-10,TechNova,136.36,137.03,134.78,135.88,2187919
2023-04-11,TechNova,137.99,139.45,136.57,137.28,234392
2023-04-12,TechNova,135.01,137.64,133.55,135.02,3399428
2023-04-13,TechNova,138.98,140.39,138.17,138.35,1110366
2023-04-14,TechNova,140.12,141.67,137.72,139.62,3421984
2023-04-17,TechNova,138.84,141.27,135.6,138.29,4269637
2023-04-18,TechNova,142.48,145.59,140.89,143.63,2599455
2023-04-19,TechNova,145.04,147.82,143.5,146.06,1831281
2023-04-20,TechNova,152.05,152.63,147.87,150.08,4913935
2023-04-21,TechNova,151.15,153.59,147.56,149.32,724256
2023-04-24,TechNova,146.79,149.66,145.09,148.19,946409
2023-04-25,TechNova,142.97,146.09,140.95,144.59,3038706
2023-04-26,TechNova,144.3,145.99,141.72,142.38,3377705
2023-04-27,TechNova,145.16,146.78,143.53,146.21,1246306
2023-04-28,TechNova,150.78,152.72,150.17,152.04,2980444
2023-05-01,TechNova,149.59,153.69,148.57,151.17,126143
2023-05-02,TechNova,148.92,150.75,147.0,149.64,1204369
2023-05-03,TechNova,148.13,149.22,146.34,148.0,555006
2023-05-04,TechNova,153.11,154.84,150.51,151.78,4739894
2023-05-05,TechNova,147.93,149.4,147.3,148.36,2422081
2023-05-08,TechNova,144.17,147.8,141.24,146.06,2351864
2023-05-09,TechNova,145.86,147.4,143.04,144.92,4192527
2023-05-10,TechNova,148.07,151.65,147.46,148.73,4268212
2023-05-11,TechNova,151.58,153.29,149.82,152.56,2067877
2023-05-12,TechNova,156.64,157.41,152.39,154.73,168772
2023-05-15,TechNova,154.9,158.72,152.85,156.48,2119825
2023-05-16,TechNova,158.86,159.23,157.19,158.46,3112548
2023-05-17,TechNova,163.61,166.1,160.37,161.92,2019712
2023-05-18,TechNova,161.61,165.35,158.76,162.52,2355735
2023-05-19,TechNova,166.64,169.07,163.77,167.61,1041174
2023-01-02,GreenEnergy,153.73,157.02,151.31,155.34,3749030
2023-01-03,GreenEnergy,157.56,158.87,153.84,155.94,2854797
2023-01-04,GreenEnergy,159.62,160.62,156.71,157.66,636328
2023-01-05,GreenEnergy,157.03,158.47,154.73,157.88,1174102
2023-01-06,GreenEnergy,156.32,158.13,156.07,158.03,1911565
2023-01-09,GreenEnergy,153.02,154.12,151.41,151.88,3494751
2023-01-10,GreenEnergy,149.34,151.49,146.59,147.75,3384440
2023-01-11,GreenEnergy,144.47,146.03,142.83,145.56,3343751
2023-01-12,GreenEnergy,148.06,151.9,145.5,148.94,3247591
2023-01-13,GreenEnergy,144.72,146.93,141.38,144.23,4522660
2023-01-16,GreenEnergy,144.85,146.86,144.52,145.48,132487
2023-01-17,GreenEnergy,144.11,145.07,141.78,142.43,4091594
2023-01-18,GreenEnergy,139.83,140.11,137.57,139.35,4011711
2023-01-19,GreenEnergy,138.2,138.6,137.01,137.66,2189069
2023-01-20,GreenEnergy,136.65,137.44,133.05,135.0,4385289
2023-01-23,GreenEnergy,139.58,140.73,137.5,140.69,4898500
2023-01-24,GreenEnergy,142.64,145.55,139.73,142.4,253564
2023-01-25,GreenEnergy,131.62,135.81,128.85,133.46,4423318
2023-01-26,GreenEnergy,135.54,137.49,133.09,134.03,4129108
2023-01-27,GreenEnergy,136.98,137.06,135.62,136.7,2972105
2023-01-30,GreenEnergy,132.03,134.08,129.34,132.83,4438450
2023-01-31,GreenEnergy,133.1,137.33,131.92,134.82,809656
2023-02-01,GreenEnergy,138.21,140.26,135.77,137.63,2355691
2023-02-02,GreenEnergy,133.58,135.46,132.23,134.09,570317
2023-02-03,GreenEnergy,136.96,137.0,133.72,136.52,3492709
2023-02-06,GreenEnergy,136.79,139.03,135.42,136.43,1399186
2023-02-07,GreenEnergy,137.32,138.13,133.83,135.86,2131112
2023-02-08,GreenEnergy,134.0,134.91,132.77,134.04,3847100
2023-02-09,GreenEnergy,136.16,136.93,135.67,135.89,2243519
2023-02-10,GreenEnergy,131.11,133.85,131.1,132.75,3835240
2023-02-13,GreenEnergy,136.11,138.94,133.82,134.5,4853808
2023-02-14,GreenEnergy,133.27,135.76,131.78,134.95,3609939
2023-02-15,GreenEnergy,130.88,133.46,128.63,130.22,391777
2023-02-16,GreenEnergy,132.54,133.74,130.11,131.02,694126
2023-02-17,GreenEnergy,132.46,135.03,131.32,131.85,920569
2023-02-20,GreenEnergy,124.43,125.62,123.96,125.08,2992518
2023-02-21,GreenEnergy,125.91,127.91,124.48,127.05,2872146
2023-02-22,GreenEnergy,127.2,130.09,124.72,126.8,1248950
2023-02-23,GreenEnergy,126.53,128.8,123.84,126.94,772387
2023-02-24,GreenEnergy,124.2,127.07,122.96,124.54,329758
2023-02-27,GreenEnergy,125.18,129.33,124.16,126.36,2831309
2023-02-28,GreenEnergy,125.8,125.86,123.98,125.5,1169986
2023-03-01,GreenEnergy,123.63,126.38,123.23,125.56,3084198
2023-03-02,GreenEnergy,122.74,125.02,122.64,123.8,2463917
2023-03-03,GreenEnergy,122.01,122.37,121.04,122.21,1453464
2023-03-06,GreenEnergy,123.63,125.43,120.84,124.04,929316
2023-03-07,GreenEnergy,121.67,125.97,121.42,123.36,269980
2023-03-08,GreenEnergy,126.54,129.99,125.72,128.09,2443792
2023-03-09,GreenEnergy,130.45,133.68,129.55,131.67,3470412
2023-03-10,GreenEnergy,133.45,134.43,129.49,132.41,1087423
2023-03-13,GreenEnergy,131.42,132.83,129.28,130.56,4682898
2023-03-14,GreenEnergy,126.79,127.12,122.33,124.89,158879
2023-03-15,GreenEnergy,125.43,127.66,124.62,126.41,4357513
2023-03-16,GreenEnergy,133.82,134.08,132.0,132.34,4754375
2023-03-17,GreenEnergy,137.09,139.43,135.89,136.74,2941954
2023-03-20,GreenEnergy,137.45,140.24,134.14,135.72,3390445
2023-03-21,GreenEnergy,134.43,138.74,134.39,135.89,1741514
2023-03-22,GreenEnergy,135.35,137.6,134.51,135.27,4466377
2023-03-23,GreenEnergy,139.44,140.75,139.15,139.93,1895541
2023-03-24,GreenEnergy,134.79,139.47,132.26,136.74,3721366
2023-03-27,GreenEnergy,141.87,142.64,137.61,140.35,3690186
2023-03-28,GreenEnergy,138.1,140.67,135.7,137.72,2440280
2023-03-29,GreenEnergy,137.74,141.6,136.14,139.49,2612924
2023-03-30,GreenEnergy,140.11,142.43,136.4,138.42,397394
2023-03-31,GreenEnergy,139.46,140.63,138.76,139.6,2256263
2023-04-03,GreenEnergy,138.54,138.85,137.45,138.71,3248467
2023-04-04,GreenEnergy,142.4,146.7,141.67,143.75,2242880
2023-04-05,GreenEnergy,143.06,145.68,141.83,143.34,2921571
2023-04-06,GreenEnergy,145.21,147.27,144.69,146.78,2839144
2023-04-07,GreenEnergy,152.96,153.79,148.91,151.66,2083331
2023-04-10,GreenEnergy,155.27,155.52,153.27,153.91,2110864
2023-04-11,GreenEnergy,149.21,152.16,146.93,150.93,4796548
2023-04-12,GreenEnergy,146.82,148.06,145.22,147.58,2237765
2023-04-13,GreenEnergy,147.57,149.77,145.21,148.29,3532506
2023-04-14,GreenEnergy,146.57,147.75,143.42,146.35,4830132
2023-04-17,GreenEnergy,146.77,148.07,144.12,147.73,567951
2023-04-18,GreenEnergy,147.05,149.21,145.22,148.32,4187010
2023-04-19,GreenEnergy,154.11,154.43,151.41,153.73,4277183
2023-04-20,GreenEnergy,152.96,156.36,152.83,154.76,1193827
2023-04-21,GreenEnergy,149.73,151.62,149.09,151.59,2128660
2023-04-24,GreenEnergy,156.48,156.94,155.16,156.71,1878053
2023-04-25,GreenEnergy,162.69,164.59,160.94,161.01,531659
2023-04-26,GreenEnergy,156.25,156.62,153.02,155.87,1265209
2023-04-27,GreenEnergy,158.26,159.47,157.01,158.47,1945606
2023-04-28,GreenEnergy,156.59,160.26,156.17,158.57,2419680
2023-05-01,GreenEnergy,164.59,166.35,161.46,162.96,634203
2023-05-02,GreenEnergy,165.43,167.13,162.74,166.91,1911350
2023-05-03,GreenEnergy,167.01,168.27,164.61,165.3,1321327
2023-05-04,GreenEnergy,166.85,169.0,165.43,167.82,1184585
2023-05-05,GreenEnergy,171.21,173.31,168.43,169.76,3672095
2023-05-08,GreenEnergy,167.91,171.13,166.84,168.16,2196695
2023-05-09,GreenEnergy,171.13,173.3,169.47,171.93,4085086
2023-05-10,GreenEnergy,177.21,179.15,175.34,175.49,4582148
2023-05-11,GreenEnergy,175.9,178.01,175.33,176.41,1899946
2023-05-12,GreenEnergy,175.98,179.61,173.01,177.87,684061
2023-05-15,GreenEnergy,176.23,178.17,175.93,176.55,3043541
2023-05-16,GreenEnergy,174.68,178.08,174.5,176.07,4298676
2023-05-17,GreenEnergy,177.73,178.05,175.83,176.01,1872038
2023-05-18,GreenEnergy,180.21,183.19,176.51,178.43,3055212
2023-05-19,GreenEnergy,180.09,182.05,178.57,180.58,202765
2023-01-02,MediCore,193.4,194.06,191.74,193.36,4077290
2023-01-03,MediCore,201.49,203.49,197.07,199.68,138748
2023-01-04,MediCore,204.24,204.28,200.84,202.37,143348
2023-01-05,MediCore,207.97,210.89,205.7,206.41,1231032
2023-01-06,MediCore,201.31,205.51,201.18,202.59,1258933
2023-01-09,MediCore,195.32,197.54,194.17,195.93,2417190
2023-01-10,MediCore,200.15,201.21,196.16,198.97,2252759
2023-01-11,MediCore,196.39,199.23,193.45,198.24,2682236
2023-01-12,MediCore,200.23,202.31,198.5,199.55,4184307
2023-01-13,MediCore,196.27,199.69,194.24,197.24,1761986
2023-01-16,MediCore,194.65,195.28,193.91,194.07,4576576
2023-01-17,MediCore,191.07,193.03,190.74,191.46,2836989
