SalesID,Date,Product,Region,Sales,Profit,Year
101,2024-08-02,Product A,North,793.24,137.6,2024
102,2021-10-13,Product A,Central,269.55,61.07,2021
103,2021-03-03,Product A,South,386.13,108.35,2021
104,2024-02-24,Product B,Central,535.62,125.74,2024
105,2022-07-24,Product A,South,758.51,153.28,2022
106,2021-11-15,Product B,East,281.77,60.29,2021
107,2023-01-06,Product C,Central,411.62,46.53,2023
108,2023-07-30,Product E,North,978.49,208.97,2023
109,2024-02-05,Product C,Central,908.36,189.38,2024
110,2022-01-29,Product A,North,729.01,241.97,2022
111,2021-06-13,Product B,North,504.1,118.98,2021
112,2023-01-18,Product B,East,484.22,145.78,2023
113,2024-10-31,Product A,Central,707.98,184.25,2024
114,2022-05-17,Product B,West Coast,503.56,199.84,2022
115,2024-08-03,Product E,South,747.69,263.83,2024
116,2021-04-25,Product B,North,844.04,185.98,2021
117,2021-05-16,Product B,Central,901.09,175.17,2021
118,2024-09-04,Product D,West Coast,907.75,265.84,2024
119,2021-10-20,Product C,South,,106.64,2021
120,2022-06-23,Product E,West Coast,918.26,201.85,2022
121,2022-03-26,Product B,Central,594.81,,2022
122,2021-08-13,Product B,South,833.66,188.95,2021
123,2021-05-11,Product D,West Coast,676.71,162.69,2021
124,2022-05-30,Product E,North,744.23,100.0,2022
125,2024-01-05,Product C,East,289.24,66.65,2024
126,2023-07-19,Product A,East,977.51,321.2,2023
127,2023-11-06,Product A,East,873.34,220.34,2023
128,2022-02-12,Product B,East,810.01,212.07,2022
129,2023-12-23,Product A,Central,459.32,48.62,2023
130,2023-01-14,Product C,South,246.34,89.52,2023
131,2021-06-11,Product A,West Coast,852.82,335.5,2021
132,2023-12-27,Product B,South,,279.51,2023
133,2021-12-05,Product C,Central,897.95,203.78,2021
134,2022-03-10,Product E,South,770.36,169.25,2022
135,2024-10-07,Product C,West Coast,919.69,216.54,2024
136,2022-05-23,Product B,North,470.47,130.08,2022
137,2022-04-17,Product E,South,205.75,64.27,2022
138,2021-05-01,Product B,North,924.34,330.81,2021
139,2021-05-26,Product E,South,422.78,103.85,2021
140,2024-01-10,Product B,Central,660.97,114.28,2024
141,2023-08-27,Product D,South,275.46,82.0,2023
142,2022-12-27,Product D,West Coast,573.62,182.83,2022
143,2024-10-11,Product A,North,522.1,105.35,2024
144,2021-08-12,Product B,South,352.17,82.61,2021
145,2023-05-15,Product B,East,570.1,206.57,2023
146,2021-06-04,Product D,Central,278.33,,2021
147,2024-01-13,Product A,North,941.09,333.72,2024
148,2021-12-07,Product D,West Coast,585.09,,2021
149,2021-05-01,Product B,West Coast,201.72,43.8,2021
150,2023-07-21,Product C,West Coast,757.27,241.68,2023
151,2024-02-13,Product D,South,351.92,58.18,2024
152,2021-04-30,Product E,Central,248.77,48.28,2021
153,2021-04-13,Product E,West Coast,602.28,214.3,2021
154,2021-11-19,Product A,Central,264.09,41.13,2021
155,2024-05-03,Product A,South,523.02,200.04,2024
156,2024-03-12,Product B,Central,675.62,193.1,2024
157,2023-05-09,Product E,Central,618.23,235.18,2023
158,2022-02-23,Product C,South,412.49,57.44,2022
159,2024-08-14,Product C,West Coast,452.94,147.46,2024
160,2021-05-29,Product A,West Coast,696.93,187.4,2021
161,2021-07-24,Product A,Central,370.52,66.53,2021
162,2022-12-16,Product A,South,495.62,73.02,2022
163,2024-01-18,Product C,Central,987.08,337.71,2024
164,2023-12-20,Product A,Central,439.5,131.42,2023
165,2021-10-03,Product C,North,911.77,294.25,2021
166,2021-11-15,Product C,East,683.86,215.61,2021
167,2022-02-21,Product C,Central,590.83,219.55,2022
168,2021-04-15,Product A,West Coast,863.48,97.77,2021
169,2022-11-15,Product B,East,329.27,76.57,2022
170,2023-05-26,Product E,North,289.5,111.03,2023
171,2021-11-02,Product E,North,867.68,238.4,2021
172,2021-10-31,Product D,South,233.46,48.89,2021
173,2021-03-23,Product C,South,745.65,223.75,2021
174,2022-12-26,Product E,West Coast,,318.04,2022
175,2022-04-30,Product B,South,905.13,97.24,2022
176,2022-11-12,Product D,South,413.44,139.0,2022
177,2021-08-10,Product D,North,,147.87,2021
178,2023-08-01,Product C,East,856.43,309.51,2023
179,2022-04-02,Product A,South,,95.24,2022
180,2021-05-23,Product C,East,713.19,156.83,2021
181,2024-01-04,Product C,North,292.27,114.31,2024
182,2022-01-01,Product E,East,230.61,64.33,2022
183,2022-12-09,Product C,West Coast,684.97,173.59,2022
184,2023-02-28,Product E,South,403.78,126.24,2023
185,2021-01-04,Product E,Central,749.49,,2021
186,2024-10-05,Product B,East,545.04,209.66,2024
187,2022-11-08,Product E,East,730.71,100.39,2022
188,2022-09-08,Product E,East,733.51,145.13,2022
189,2022-08-29,Product E,South,353.47,105.86,2022
190,2023-02-16,Product B,Central,655.28,145.36,2023
191,2021-01-01,Product C,East,368.15,123.6,2021
192,2024-05-27,Product C,West Coast,553.43,167.52,2024
193,2023-11-13,Product D,South,727.08,134.61,2023
194,2024-09-21,Product E,East,274.71,105.93,2024
195,2022-04-27,Product C,South,845.25,121.89,2022
196,2021-04-05,Product B,West Coast,689.02,227.75,2021
197,2023-07-22,Product D,Central,355.55,109.83,2023
198,2023-10-10,Product D,South,318.06,97.42,2023
199,2021-08-07,Product D,South,340.71,131.99,2021
200,2023-11-27,Product D,North,645.92,242.38,2023
201,2021-09-06,Product D,South,841.13,252.57,2021
202,2024-02-19,Product E,East,960.03,352.74,2024
203,2024-06-08,Product E,West Coast,864.46,228.53,2024
204,2021-11-22,Product D,West Coast,407.35,70.95,2021
205,2024-07-29,Product C,Central,587.68,100.95,2024
206,2023-06-20,Product A,East,387.59,77.81,2023
207,2024-01-12,Product A,South,320.66,68.91,2024
208,2021-11-09,Product B,North,531.89,105.99,2021
209,2023-08-13,Product D,North,365.47,82.61,2023
210,2024-04-11,Product A,Central,504.3,51.32,2024
211,2022-12-22,Product C,West Coast,882.76,340.77,2022
212,2023-05-09,Product E,Central,839.89,310.21,2023
213,2023-09-27,Product B,East,548.67,59.64,2023
214,2022-11-20,Product D,South,872.4,327.9,2022
215,2024-06-28,Product E,North,925.54,256.9,2024
216,2024-09-19,Product A,North,714.2,100.49,2024
217,2023-08-04,Product B,North,408.13,80.89,2023
218,2023-07-21,Product C,East,808.98,172.91,2023
219,2023-05-14,Product C,North,,187.11,2023
220,2021-04-17,Product C,South,720.12,240.79,2021
221,2024-08-27,Product A,North,959.69,153.37,2024
222,2021-02-11,Product E,South,390.84,94.61,2021
223,2021-08-23,Product E,South,572.03,101.18,2021
224,2023-01-26,Product B,Central,685.8,222.46,2023
225,2021-08-23,Product B,East,286.48,30.85,2021
226,2022-10-01,Product E,West Coast,517.32,162.7,2022
227,2021-06-05,Product E,South,281.52,93.39,2021
228,2024-05-14,Product A,Central,826.11,168.66,2024
229,2023-05-28,Product C,North,604.77,122.39,2023
230,2023-05-11,Product D,North,546.82,114.1,2023
231,2023-07-31,Product B,West Coast,340.91,87.45,2023
232,2024-08-25,Product C,Central,846.56,221.33,2024
233,2023-09-18,Product D,West Coast,860.59,239.02,2023
234,2022-10-23,Product B,North,423.14,99.54,2022
235,2023-08-10,Product E,Central,734.55,147.59,2023
236,2023-10-10,Product C,South,590.04,121.81,2023
237,2022-06-14,Product C,East,904.26,280.64,2022
238,2022-07-20,Product E,North,613.3,96.48,2022
239,2022-05-10,Product D,West Coast,644.14,110.85,2022
240,2023-09-03,Product D,West Coast,834.35,106.73,2023
241,2022-03-30,Product D,South,444.96,122.13,2022
242,2023-08-28,Product E,Central,475.01,189.52,2023
243,2024-02-02,Product C,East,762.28,138.18,2024
244,2022-05-30,Product B,North,777.03,151.26,2022
245,2024-01-03,Product B,South,373.11,91.51,2024
246,2024-04-22,Product E,Central,426.4,55.5,2024
247,2022-02-02,Product C,South,488.7,93.19,2022
248,2023-12-30,Product B,East,236.41,27.51,2023
249,2022-08-22,Product B,West Coast,282.07,29.24,2022
